STATION,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-01,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-02,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-03,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-04,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-05,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-06,70,",,0",32,",,0",36,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-07,70,",,0",32,",,0",35,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-08,69,",,0",35,",,0",39,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-09,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-10,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-11,69,",,0",31,",,0",35,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-12,70,",,0",32,",,0",32,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-13,69,",,0",32,",,0",47,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-14,70,",,0",42,",,0",47,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-15,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-16,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-17,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-18,70,",,0",35,",,0",49,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-19,73,",,0",43,",,0",53,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-20,55,",,0",36,",,0",41,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-21,55,",,0",41,",,0",46,",,0,0800"
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-22,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-23,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-24,,,,,,
USC00020060,"AGUILA, AZ US",Arizona,33.9433,-113.1875,659.9,2010-01-25,,,,,,
