STATION,NAME,STATE,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-17,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-18,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-19,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-20,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-21,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-22,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-23,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-24,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-25,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-01-26,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-15,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-16,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-17,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-18,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-19,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-20,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-21,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-22,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-23,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-24,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-25,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-26,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-27,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-29,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-30,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-03-31,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-01,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-02,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-03,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-04,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-05,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-06,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-07,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-08,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-09,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-10,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-11,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-12,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-13,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-14,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-15,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-16,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-17,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-18,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-19,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-20,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-21,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-22,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-23,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-24,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-25,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-26,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-27,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-28,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-29,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-04-30,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-01,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-02,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-03,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-04,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-05,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-06,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-07,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-08,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-09,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-10,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-11,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-12,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-13,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-14,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-15,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-16,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-17,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-18,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-19,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-20,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-21,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-22,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-23,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-24,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-25,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-26,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-27,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-28,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-29,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-30,,,,,,
US1NYSF0002,"RIVERHEAD 1.3 SSE, NY US",New York,40.93,-72.67,13.1,2010-05-31,,,,,,
