Obs,RegOut1,ClassLabel,RegOut2,TimeTouchBps,Input1,Input2,Input3,Input4,Input5
1,163.9116,TRUE,489.51,6.7686,0.850649351,0,84.08,216.3456,0
2,180.6946,TRUE,584.06,2.3465,0.326719577,0,0,0,35.04
3,89.3338,FALSE,43.95,0.4331,0.271428571,0,0,0,0
4,104.9719,FALSE,77.11,0.4041,0.873563218,0.13043,0,0,0
5,100.4498,FALSE,15.56,0.3965,1,0,0,0,0.62
6,397.2153,TRUE,1.69,0.488,1,0,0,0,0
7,218.0857,TRUE,94.93,3.9466,0,0,6.53,16.8224,0
8,267.686,TRUE,101.2,8.9626,0.833333333,0,0,0,0
9,247.2815,TRUE,18.59,1.2093,1,0,17.32,44.5763,0
10,71.6022,FALSE,461.13,0.5263,0.808441558,0.14285,0,0,0.18
11,36.9013,FALSE,483.12,0.4745,0.646090535,0.07534,18.43,41.7622,5.49
12,93.7268,FALSE,558.71,1.1337,0.484210526,0.02898,13.77,35.4379,17.93
13,62.4477,FALSE,934.42,2.6349,0.741794311,0.66534,0,0,6.67
14,69.4603,FALSE,296.87,0.573,0.786069652,0.33663,33.75,75.0808,1.61
15,90.6065,FALSE,134.24,0.6006,0.752808989,0.51351,20.71,46.9249,0.5
16,126.9375,FALSE,735.1,4.201,0.855579869,0,27.54,62.3873,18.12
17,53.3529,FALSE,168.71,0.3122,0.837150127,0,0,0,15.86
18,249.6347,TRUE,2.73,0.4234,1,0,0,0,0
19,75.6066,FALSE,403.88,0.6347,0.895325203,0,22.54,51.0698,7.71
20,137.8537,FALSE,135.55,1.8823,0.866972477,0,20.59,52.9801,4.53
21,255.8473,TRUE,24.89,1.5244,0.833333333,0,11.84,30.4837,0
22,7.8229,FALSE,801.69,1.1763,0.415915916,0,108.64,246.0909,24.67
23,55.7162,FALSE,334.74,0.8964,0.853018373,0,77.7,165.8309,14.96
24,66.4782,FALSE,239.99,0.6551,0.623931624,0,0,0,9.76
25,131.833,FALSE,74.53,0.8477,0.62962963,0,12.93,33.29,0
26,116.8959,FALSE,57.42,1.5188,0.75,0,0,0,0
27,165.652,TRUE,342.88,4.1038,0.844660194,0.05357,37.03,80.0668,0.32
28,142.4605,FALSE,45.37,2.0818,0.538461538,0,4.82,12.4158,0
29,132.7274,FALSE,115.29,2.799,0.545454545,0.72448,0.24,0.6249,4.99
30,30.8995,FALSE,2570.11,3.2499,0.728121354,0,94.76,221.5969,113.6
31,90.4354,FALSE,16.39,0.0413,0.591836735,0,0,0,2.9
32,118.0948,FALSE,16.82,0.635,0.7,0,0,0,0
33,92.8574,FALSE,133.9,0.9636,0.905405405,0.77777,0,0,9.18
34,65.7149,FALSE,968.46,2.1346,0.866394697,0,38.1,98.0387,23.47
35,67.6681,FALSE,436.87,2.8334,0.751592357,0.66292,0,0,16.41
36,139.7827,FALSE,288.4,5.7602,0.884368308,0,24.73,63.6293,7.96
37,413.7594,TRUE,95.66,37.0176,0.727272727,0,0,0,0.37
38,170.0042,TRUE,96.65,2.8436,0.615384615,0.04761,0,0,1.23
39,114.2249,FALSE,126.9,2.5233,0.692307692,0,0,0,6.46
40,55.2301,FALSE,6837.72,1.1794,0.087429112,0.34667,185.5,276.9421,35.79
41,118.901,FALSE,373.71,4.5055,0.798353909,0.325,13.1,33.7236,3.91
42,36.0977,FALSE,3495.75,3.1754,0.768321513,0.06521,67.11,152.0159,39.09
43,85.5971,FALSE,381.16,1.0196,0.695945946,0.39743,22.53,57.9745,0.18
44,156.3243,TRUE,562.66,2.9648,0.237837838,0,0,0,6.43
45,143.4741,FALSE,17.24,1.669,1,0,0,0,0
46,38.5568,FALSE,499.06,0.7131,0.668122271,0,9.59,21.7243,13.21
47,114.9877,FALSE,94.23,2.8419,0.883333333,0,23.88,125.023,0.65
48,149.0544,FALSE,265.22,13.0261,0.891891892,0,0,0,13.71
49,79.5461,FALSE,223.03,0.9101,0.974576271,0.875,0,0,0.33
50,120.2259,FALSE,101.17,1.3859,0.832061069,0.55882,0,0,0
51,118.6176,FALSE,150.45,2.3038,0.896103896,0.6,0,0,3.88
52,75.1249,FALSE,1986,2.028,0.048429319,0.00737,37.13,84.1037,51.61
53,84.2601,FALSE,194.4,2.0506,0.891891892,0,11.53,29.6778,0
54,64.2704,FALSE,28.45,0.2113,0.547945205,0,0,0,0.32
55,81.5894,FALSE,221.33,1.0343,0.664596273,0,23.09,52.3076,0.62
56,124.5827,FALSE,42.96,0.438,0.855855856,0,0,0,0.97
57,50.0567,FALSE,3533.69,2.9866,0.852669039,0.48119,51.6,116.8896,26.58
58,135.4078,FALSE,78.29,0.4432,0.863636364,0,0,0,0.5
59,104.2826,FALSE,58.61,0.8435,0.87012987,0,0,0,4.6
60,171.3809,TRUE,70.69,5.8774,0.933333333,0,4.47,11.5029,28.16
61,106.7692,FALSE,23.49,0.55,0.818181818,0.83333,0,0,0
62,164.7171,TRUE,51.09,1.4905,0.896226415,0,0,0,14.49
63,89.4762,FALSE,1344.57,0.7957,0.253164557,0.21336,41.77,107.4924,11.13
64,94.562,FALSE,660.94,4.7922,0.773480663,0,12.93,33.29,0
65,83.2291,FALSE,912.23,2.0133,0.689655172,0.55477,27.49,70.7357,3.91
66,89.3223,FALSE,471.75,1.3785,0.54,0.1923,0,0,0
67,63.624,FALSE,730.26,1.0306,0.637729549,0.09292,32.56,83.7771,0.65
68,135.0651,FALSE,68.85,1.4524,0.795454545,0,0,0,13.13
69,125.5982,FALSE,38.51,0.5361,0.741176471,0,0,0,0
70,173.338,TRUE,487.98,7.4726,0.187134503,0,0,0,0
71,40.8746,FALSE,645.59,1.1505,0.338129496,0,27.84,71.6401,5.75
72,100.4431,FALSE,70.37,0.5161,0.816326531,1,0,0,0
73,98.7256,FALSE,58.89,0.5798,0.723577236,0,0,0,1.13
74,52.2876,FALSE,2145.58,0.4846,0.802850356,0.10397,31.5,71.3556,37.62
75,61.0495,FALSE,114.57,0.8406,0.746031746,0,17.49,45.013,0
76,56.0986,FALSE,142.38,1.1358,0.75,0.26086,0,0,0
77,98.1082,FALSE,94.27,0.4244,0.780898876,0.8,0,0,2.46
78,72.3511,FALSE,398.67,0.7623,0.760479042,0,47.86,108.4111,0.48
79,65.406,FALSE,443.29,1.1813,0.850655903,0.375,66.92,163.2403,18.68
80,85.9923,FALSE,251.36,1.5335,0.917525773,0,42.95,106.0946,0
81,115.1111,FALSE,160.64,0.3393,0.819277108,0.03333,3.69,12.4158,1.05
82,91.2593,FALSE,461.46,4.3377,0.88,0.6875,44.28,86.7431,38.68
83,80.5566,FALSE,385.67,1.7718,0.271428571,0,0,0,0
84,88.4807,FALSE,146.62,0.663,0.762886598,0.05084,0,0,0
85,165.602,TRUE,48.63,0.8117,0.699186992,0,0,0,16.35
86,43.2689,FALSE,409.12,1.5117,0.945054945,0.85416,43.58,102.7757,0
