DATE,USERS
01/01/2016,73404
01/02/2016,66795
01/03/2016,57185
01/04/2016,106916
01/05/2016,99982
01/06/2016,95276
01/07/2016,103035
01/08/2016,99129
01/09/2016,73340
01/10/2016,56893
01/11/2016,102988
01/12/2016,102015
01/13/2016,100186
01/14/2016,100679
01/15/2016,106452
01/16/2016,76118
01/17/2016,54314
01/18/2016,85436
01/19/2016,97648
01/20/2016,106443
01/21/2016,103510
01/22/2016,99198
01/23/2016,75388
01/24/2016,50795
01/25/2016,98805
01/26/2016,96192
01/27/2016,94353
01/28/2016,91822
01/29/2016,95197
01/30/2016,77787
01/31/2016,55083
02/01/2016,94447
02/02/2016,91437
02/03/2016,89880
02/04/2016,92120
02/05/2016,83825
02/06/2016,39589
02/07/2016,30531
02/08/2016,59884
02/09/2016,62789
02/10/2016,59754
02/11/2016,63340
02/12/2016,62518
02/13/2016,43728
02/14/2016,33369
02/15/2016,52293
02/16/2016,64192
02/17/2016,74054
02/18/2016,71393
02/19/2016,62472
02/20/2016,42322
02/21/2016,34651
02/22/2016,68252
02/23/2016,71353
02/24/2016,63052
02/25/2016,67946
02/26/2016,69690
02/27/2016,44909
02/28/2016,34561
02/29/2016,66001
03/01/2016,73793
03/02/2016,79426
03/03/2016,74236
03/04/2016,76122
03/05/2016,52894
03/06/2016,37140
03/07/2016,71703
03/08/2016,75100
03/09/2016,68812
03/10/2016,69108
03/11/2016,70742
03/12/2016,54016
03/13/2016,37832
03/14/2016,81357
03/15/2016,95432
03/16/2016,94742
03/17/2016,98756
03/18/2016,101091
03/19/2016,78899
03/20/2016,48176
03/21/2016,94190
03/22/2016,99719
03/23/2016,92522
03/24/2016,92593
03/25/2016,88054
03/26/2016,66370
03/27/2016,50573
03/28/2016,95510
03/29/2016,101067
03/30/2016,102782
03/31/2016,94456
04/01/2016,96645
04/02/2016,77156
04/03/2016,57839
04/04/2016,100093
04/05/2016,99448
04/06/2016,106988
04/07/2016,118041
04/08/2016,106991
04/09/2016,78423
04/10/2016,60290
04/11/2016,98807
04/12/2016,102155
04/13/2016,118913
04/14/2016,115956
04/15/2016,108427
04/16/2016,78607
04/17/2016,60054
04/18/2016,107990
04/19/2016,111667
04/20/2016,107977
04/21/2016,102748
04/22/2016,95446
04/23/2016,72680
04/24/2016,53463
04/25/2016,94559
04/26/2016,97799
04/27/2016,98733
04/28/2016,96555
04/29/2016,92563
04/30/2016,71705
05/01/2016,53418
05/02/2016,89056
05/03/2016,98979
05/04/2016,91216
05/05/2016,88891
05/06/2016,88627
05/07/2016,69935
05/08/2016,49047
05/09/2016,91091
05/10/2016,97107
05/11/2016,97662
05/12/2016,87955
05/13/2016,89393
05/14/2016,69029
05/15/2016,49798
05/16/2016,90598
05/17/2016,97752
05/18/2016,90616
05/19/2016,88951
05/20/2016,87736
05/21/2016,69064
05/22/2016,39682
05/23/2016,90062
05/24/2016,94490
05/25/2016,99993
05/26/2016,97727
05/27/2016,91175
05/28/2016,60586
05/29/2016,47567
05/30/2016,58935
05/31/2016,93364
06/01/2016,96764
06/02/2016,97990
06/03/2016,95935
06/04/2016,71958
06/05/2016,53627
06/06/2016,94534
06/07/2016,105392
06/08/2016,103484
06/09/2016,100502
06/10/2016,94912
06/11/2016,69256
06/12/2016,31513
06/13/2016,77031
06/14/2016,95541
06/15/2016,94676
06/16/2016,94241
06/17/2016,90136
06/18/2016,68922
06/19/2016,49387
06/20/2016,89921
06/21/2016,100218
06/22/2016,97178
06/23/2016,98668
06/24/2016,113038
06/25/2016,76264
06/26/2016,54934
06/27/2016,106109
06/28/2016,103057
06/29/2016,104437
06/30/2016,103986
07/01/2016,103548
07/02/2016,77794
07/03/2016,48902
07/04/2016,61940
07/05/2016,97595
07/06/2016,100686
07/07/2016,97955
07/08/2016,98446
07/09/2016,83463
07/10/2016,58274
07/11/2016,117729
07/12/2016,119374
07/13/2016,112810
07/14/2016,111629
07/15/2016,106980
07/16/2016,75471
07/17/2016,51277
07/18/2016,100988
07/19/2016,104856
07/20/2016,102291
07/21/2016,95205
07/22/2016,92020
07/23/2016,69842
07/24/2016,47138
07/25/2016,91290
07/26/2016,94461
07/27/2016,93064
07/28/2016,92559
07/29/2016,91003
07/30/2016,68950
07/31/2016,46626
08/01/2016,92669
08/02/2016,94214
08/03/2016,88707
08/04/2016,89512
08/05/2016,89950
08/06/2016,67659
08/07/2016,45729
08/08/2016,90480
08/09/2016,94215
08/10/2016,89909
08/11/2016,90966
08/12/2016,93349
08/13/2016,66513
08/14/2016,44289
08/15/2016,93662
08/16/2016,98545
08/17/2016,75676
08/18/2016,76516
08/19/2016,87358
08/20/2016,64686
08/21/2016,44109
08/22/2016,85413
08/23/2016,92055
08/24/2016,90009
08/25/2016,85607
08/26/2016,83377
08/27/2016,62987
08/28/2016,43712
08/29/2016,86268
08/30/2016,92862
08/31/2016,87704
09/01/2016,86077
09/02/2016,84137
09/03/2016,64820
09/04/2016,41588
09/05/2016,57452
09/06/2016,89412
09/07/2016,95904
09/08/2016,91106
09/09/2016,85870
09/10/2016,63921
09/11/2016,43949
09/12/2016,85909
09/13/2016,90513
09/14/2016,85586
09/15/2016,86714
09/16/2016,87316
09/17/2016,62864
09/18/2016,43706
09/19/2016,84773
09/20/2016,87925
09/21/2016,88062
09/22/2016,93116
09/23/2016,84373
09/24/2016,52328
09/25/2016,42244
09/26/2016,82402
09/27/2016,88562
09/28/2016,90281
09/29/2016,90021
09/30/2016,87676
10/31/2016,2
11/01/2016,87815
11/02/2016,87367
11/03/2016,85495
11/04/2016,82883
11/05/2016,62913
11/06/2016,41122
11/07/2016,91589
11/08/2016,99378
11/09/2016,111483
11/10/2016,115186
11/11/2016,100007
11/12/2016,74074
11/13/2016,49665
11/14/2016,101608
11/15/2016,108191
11/16/2016,104238
11/17/2016,100012
11/18/2016,98626
11/19/2016,70823
11/20/2016,46618
11/21/2016,97220
11/22/2016,113574
11/23/2016,98100
11/24/2016,64113
11/25/2016,68944
11/26/2016,66991
11/27/2016,49769
11/28/2016,98642
11/29/2016,102828
11/30/2016,105746
12/01/2016,105514
12/02/2016,99517
12/03/2016,73613
12/04/2016,46481
12/05/2016,99140
12/06/2016,108869
12/07/2016,112821
12/08/2016,118057
12/09/2016,115273
12/10/2016,85247
12/11/2016,51535
12/12/2016,103913
12/13/2016,115055
12/14/2016,111315
12/15/2016,104182
